Lần chạy,"Phân
công","Ngày
thực hiện",Kernel,Tập đánh giá,Tham Số,,Error(0.0->1.0),,Accuracy(%),,Running time(s),Note,
,,,,,C,Gamma,IN,OUT,IN,OUT,,,
7,ĐA,8/19/2020,,,,1000,0.886440,0.893600,11.36%,10.64%,10337.69799,Underfit (C quá nhỏ),Execution Time: 10337.697992185 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
8,ĐA,8/19/2020,,,,10000,0.886440,0.893600,11.36%,10.64%,10180.26875,Underfit (C quá nhỏ),Execution Time: 10180.268752395 Accuracy on Training set : 0.11356 Accuracy on Test set : 0.1064
1,T,8/20/2020,Gaussian/RBF,Validation,1,0.001,0.064220,0.058900,93.58%,94.11%,783.1767313,Tốt (có vẻ cần tăng C),Execution Time: 783.176731326 Accuracy on Training set : 0.93578 Accuracy on Test set : 0.9411
2,T,8/20/2020,,,,0.01,0.015260,0.022300,98.47%,97.77%,423.9256641,Tốt (có vẻ cần tăng C),Execution Time: 423.9256641380016 Accuracy on Training set : 0.98474 Accuracy on Test set : 0.9777
3,T,8/20/2020,,,,0.1,0.015260,0.044800,98.47%,95.52%,7290.527187,Tốt (có vẻ cần tăng C),Execution Time:  7290.527186751 Accuracy on Training set   : 0.99996 Accuracy on Test set : 0.9552 
4,T,8/20/2020,,,,1,0.000000,0.817600,100.00%,18.24%,16083.37342,Overfit (Gamma quá lớn),Execution Time: 16083.373422991 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1824
5,ĐA,8/20/2020,,,,10,0.000000,0.893600,100.00%,10.64%,13208.17011,Overfit (Gamma quá lớn),Execution Time: 13208.170111427 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
6,ĐA,8/20/2020,,,,100,0.000000,0.893600,100.00%,10.64%,12562.67337,Overfit (Gamma quá lớn),Execution Time: 12562.673367418001 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
7,ĐA,8/20/2020,,,,1000,0.000000,0.893600,100.00%,10.64%,12769.96213,Overfit (Gamma quá lớn),Execution Time: 12769.962132802 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
8,ĐA,8/20/2020,,,,10000,0.000000,0.893600,100.00%,10.64%,13054.11372,Overfit (Gamma quá lớn),Execution Time: 13054.113722459999 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
1,T,8/19/2020,Gaussian/RBF,Validation,10,0.001,0.037940,0.040800,96.21%,95.92%,403.63822,Tốt (có vẻ cần tăng C hoặc Gamma),Execution Time: 403.6382200210028 Accuracy on Training set : 0.96206 Accuracy on Test set : 0.9592
2,T,8/19/2020,,,,0.01,0.000580,0.016500,99.94%,98.35%,350.4234741,Có thể Gamma nằm lân cận 0.01,Execution Time: 350.4234740819993 Accuracy on Training set : 0.99942 Accuracy on Test set : 0.9835
3,T,8/19/2020,,,,0.1,0.000000,0.043400,100.00%,95.66%,7624.225327,Tốt (có vẻ cần tăng C hoặc Gamma),Execution Time: 7624.225327474 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9566
4,T,8/19/2020,,,,1,0.000000,0.813800,100.00%,18.62%,15876.72616,Overfit (Gamma quá lớn),Execution Time: 15876.726156643 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1862
5,ĐA,8/19/2020,,,,10,0.000000,0.893600,100.00%,10.64%,23983.37907,Overfit (Gamma quá lớn),Execution Time: 23983.379073103002 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
6,ĐA,8/19/2020,,,,100,0.000000,0.893600,100.00%,10.64%,29914.72669,Overfit (Gamma quá lớn),Execution Time: 29914.726687765 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
7,ĐA,8/19/2020,,,,1000,0.000000,0.893600,100.00%,10.64%,24535.05818,Overfit (Gamma quá lớn),Execution Time: 24535.058184728 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
8,ĐA,8/19/2020,,,,10000,0.000000,0.893600,100.00%,10.64%,25233.89094,Overfit (Gamma quá lớn),Execution Time: 25233.890940381 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
1,T,8/18/2020,Gaussian/RBF,Validation,100,0.001,0.009420,0.028200,99.06%,97.18%,317.5389633,C quá lớn và Gamma quá nhỏ (Tốt),Execution Time: 317.53896325200185 Accuracy on Training set : 0.99058 Accuracy on Test set : 0.9718
2,T,8/18/2020,,,,0.01,0.000000,0.016800,100.00%,98.32%,343.8405692,Có thể Gamma nằm lân cận 0.01,Execution Time: 343.8405691639964 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9832
3,T,8/18/2020,,,,0.1,0.000000,0.043400,100.00%,95.66%,7510.115671,Có thể Gamma nằm khoảng 0.01 -> 0.1,Execution Time: 7510.1156711159965 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9566
4,T,8/18/2020,,,,1,0.000000,0.813800,100.00%,18.62%,21133.96881,Overfit (C quá lớn),Execution Time: 21133.968805019 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1862
5,ĐA,8/18/2020,,,,10,0.000000,0.893600,100.00%,10.64%,23758.9281,Overfit (C quá lớn),Execution Time: 23758.928103082 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
6,ĐA,8/18/2020,,,,100,0.000000,0.893600,100.00%,10.64%,24742.52742,Overfit (C quá lớn),Execution Time: 24742.527416319 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
7,ĐA,8/18/2020,,,,1000,0.000000,0.893600,100.00%,10.64%,24851.30077,Overfit (C quá lớn),Execution Time: 24851.300769445 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
8,ĐA,8/18/2020,,,,10000,0.000000,0.893600,100.00%,10.64%,25066.38315,Overfit (C quá lớn),Execution Time: 25066.3831511 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
1,ĐA,8/20/2020,Gaussian/RBF,Validation,20,0.005,0.001320,0.001400,99.87%,99.86%,313.2939247,Tìm kiếm Gamma,Execution Time: 313.2939247480026 Accuracy on Training set : 0.99868 Accuracy on Test set : 0.9802
2,ĐA,8/20/2020,,,,0.01,0.000020,0.016900,100.00%,98.31%,339.3091352,Tìm kiếm Gamma,Execution Time: 339.3091351510011 Accuracy on Training set : 0.99998 Accuracy on Test set : 0.9831
3,ĐA,8/20/2020,,,,0.05,0.000000,0.016700,100.00%,98.33%,1052.650153,Tìm kiếm Gamma,Execution Time: 1052.6501529629968 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9833
4,ĐA,8/20/2020,,,,0.1,0.000000,0.043400,100.00%,95.66%,7628.742189,Tìm kiếm Gamma,Execution Time: 7628.742189179 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9566
5,ĐA,8/20/2020,,,,1,0.000000,0.893600,100.00%,10.64%,23822.39418,Tìm kiếm Gamma,Execution Time: 23822.394180155 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1064
6,T,8/20/2020,Gaussian/RBF,Validation,30,0.005,0.000660,0.000700,99.93%,99.93%,313.1125049,Tiếp tục tìm kiếm Gamma,Execution Time: 313.11250492200634 Accuracy on Training set : 0.99934 Accuracy on Test set : 0.9806
7,T,8/20/2020,,,,0.01,0.000000,0.016800,100.00%,98.32%,357.0637055,Tiếp tục tìm kiếm Gamma,Execution Time: 357.06370546799735 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9832
8,T,8/20/2020,,,,0.05,0.000000,0.016700,100.00%,98.33%,1553.156308,Tiếp tục tìm kiếm Gamma,Execution Time: 1553.1563083500005 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9833
9,T,8/20/2020,,,,0.1,0.000000,0.043400,100.00%,95.66%,7623.098438,Tiếp tục tìm kiếm Gamma,Execution Time: 7623.098438158999 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9566
9,T,8/20/2020,,,,1,0.000000,0.813800,100.00%,18.62%,21068.56621,Tiếp tục tìm kiếm Gamma,Execution Time: 21068.566212683 Accuracy on Training set : 1.0 Accuracy on Test set : 0.1862
1,ĐA,8/21/2020,Gaussian/RBF,Validation,30,0.03,0.000000,0.015400,100.00%,98.46%,781.6556434,Đoán được Gamma lớn hơn 0.01,Execution Time: 781.6556433829974 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9846
2,ĐA,8/21/2020,,,,0.02,0.000000,0.014800,100.00%,98.52%,456.3310572,Tốt nhất,Execution Time: 456.3310572390001 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
3,ĐA,8/21/2020,,,,0.015,0.000000,0.015400,100.00%,98.46%,378.9966729,Tìm Gamma lớn hơn 0.01,Execution Time: 378.9966729209991 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9846
4,ĐA,8/21/2020,,,,0.018,0.000000,0.014800,100.00%,98.52%,422.8297012,Tốt nhất,Execution Time: 422.82970116699653 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
5,ĐA,8/21/2020,,,,0.025,0.000000,0.015000,100.00%,98.50%,587.4760369,Thử các lân cận của 0.02,Execution Time: 587.4760368640018 Accuracy on Training set : 1.0 Accuracy on Test set : 0.985
6,ĐA,8/21/2020,,,,0.023,0.000000,0.015100,100.00%,98.49%,541.1945009,Thử các lân cận của 0.02,Execution Time: 541.194500897 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9849
7,ĐA,8/21/2020,,,,0.019,0.000000,0.014800,100.00%,98.52%,400.7373385,Tốt nhất,Execution Time: 400.737338451 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
8,ĐA,8/21/2020,,,,0.021,0.000000,0.015000,100.00%,98.50%,431.3191253,Thử các lân cận của 0.02,Execution Time: 431.31912530000045 Accuracy on Training set : 1.0 Accuracy on Test set : 0.985
9,ĐA,8/21/2020,,,,0.022,0.000000,0.015100,100.00%,98.49%,526.3147557,Thử các lân cận của 0.02,Execution Time: 526.3147556799995 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9849
10,T,8/21/2020,,,35,0.021,0.000000,0.015000,100.00%,98.50%,431.9294207,Thử các lân cận của 0.02,Execution Time: 431.92942070999925 Accuracy on Training set : 1.0 Accuracy on Test set : 0.985
11,T,8/21/2020,,,,0.02,0.000000,0.014800,100.00%,98.52%,505.2530904,Tốt nhất,Execution Time: 505.25309044200003 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
12,ĐA,8/21/2020,,,45,0.02,0.000000,0.014800,100.00%,98.52%,485.7990101,Tốt nhất,Execution Time: 485.79901013600005 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
13,ĐA,8/21/2020,,,,0.021,0.000000,0.015000,100.00%,98.50%,432.5792141,Thử các lân cận của 0.02,Execution Time: 432.57921409900155 Accuracy on Training set : 1.0 Accuracy on Test set : 0.985
